01:51:59 [INFO] Opening target process: csgo.exe
01:51:59 [INFO] Starting signature scanning: 57 items
01:51:59 [INFO] Found signature: dwClientState => 0x589DD4
01:51:59 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
01:51:59 [INFO] Found signature: dwClientState_IsHLTV => 0x4D40
01:51:59 [INFO] Found signature: dwClientState_Map => 0x28C
01:51:59 [INFO] Found signature: dwClientState_MapDirectory => 0x188
01:51:59 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
01:51:59 [INFO] Found signature: dwClientState_PlayerInfo => 0x52B8
01:51:59 [INFO] Found signature: dwClientState_State => 0x108
01:51:59 [INFO] Found signature: dwClientState_ViewAngles => 0x4D88
01:51:59 [INFO] Found signature: clientstate_delta_ticks => 0x174
01:51:59 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D24
01:51:59 [INFO] Found signature: clientstate_choked_commands => 0x4D28
01:51:59 [INFO] Found signature: clientstate_net_channel => 0x9C
01:52:00 [INFO] Found signature: dwEntityList => 0x4D5450C
01:52:00 [INFO] Found signature: dwForceAttack => 0x3185AA0
01:52:00 [INFO] Found signature: dwForceAttack2 => 0x3185AAC
01:52:00 [INFO] Found signature: dwForceBackward => 0x3185A58
01:52:00 [INFO] Found signature: dwForceForward => 0x3185AC4
01:52:00 [INFO] Found signature: dwForceJump => 0x51FE22C
01:52:00 [INFO] Found signature: dwForceLeft => 0x3185A4C
01:52:00 [INFO] Found signature: dwForceRight => 0x3185A70
01:52:00 [INFO] Found signature: dwGameDir => 0x6285F8
01:52:00 [INFO] Found signature: dwGameRulesProxy => 0x527151C
01:52:00 [INFO] Found signature: dwGetAllClasses => 0xD662BC
01:52:00 [INFO] Found signature: dwGlobalVars => 0x589AD8
01:52:00 [INFO] Found signature: dwGlowObjectManager => 0x529C3D0
01:52:00 [INFO] Found signature: dwInput => 0x51A5AE8
01:52:00 [INFO] Found signature: dwInterfaceLinkList => 0x908E94
01:52:01 [INFO] Found signature: dwLocalPlayer => 0xD3FC5C
01:52:01 [INFO] Found signature: dwMouseEnable => 0xD45800
01:52:01 [INFO] Found signature: dwMouseEnablePtr => 0xD457D0
01:52:01 [INFO] Found signature: dwPlayerResource => 0x3183DF0
01:52:01 [INFO] Found signature: dwRadarBase => 0x518927C
01:52:01 [INFO] Found signature: dwSensitivity => 0xD4569C
01:52:01 [INFO] Found signature: dwSensitivityPtr => 0xD45670
01:52:01 [INFO] Found signature: dwSetClanTag => 0x89E50
01:52:01 [INFO] Found signature: dwViewMatrix => 0x4D45E54
01:52:01 [INFO] Found signature: dwWeaponTable => 0x51A65A8
01:52:01 [INFO] Found signature: dwWeaponTableIndex => 0x325C
01:52:01 [INFO] Found signature: dwYawPtr => 0xD45460
01:52:01 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD4A700
01:52:01 [INFO] Found signature: dwbSendPackets => 0xD418A
01:52:01 [INFO] Found signature: dwppDirect3DDevice9 => 0xA7030
01:52:01 [INFO] Found signature: m_pStudioHdr => 0x294C
01:52:01 [INFO] Found signature: m_yawClassPtr => 0xD45460
01:52:01 [INFO] Found signature: m_pitchClassPtr => 0x5189518
01:52:01 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
01:52:01 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
01:52:01 [INFO] Found signature: m_bDormant => 0xED
01:52:01 [INFO] Found signature: model_ambient_min => 0x58CE4C
